Date,Open,High,Low,Close,Adj Close,Volume
2011-11-03,9.410000,9.410000,9.410000,9.410000,5.638468,0
2011-11-04,9.470000,9.470000,9.470000,9.470000,5.674423,0
2011-11-07,9.470000,9.470000,9.470000,9.470000,5.674423,0
2011-11-08,9.470000,9.470000,9.470000,9.470000,5.674423,0
2011-11-09,9.400000,9.400000,9.400000,9.400000,5.632478,0
2011-11-10,9.400000,9.400000,9.400000,9.400000,5.632478,0
2011-11-11,9.400000,9.400000,9.400000,9.400000,5.632478,0
2011-11-14,9.370000,9.370000,9.370000,9.370000,5.614501,0
2011-11-15,9.370000,9.370000,9.370000,9.370000,5.614501,0
2011-11-16,9.330000,9.330000,9.330000,9.330000,5.590535,0
2011-11-17,9.310000,9.310000,9.310000,9.310000,5.578552,0
2011-11-18,9.270000,9.270000,9.270000,9.270000,5.554583,0
2011-11-21,9.250000,9.250000,9.250000,9.250000,5.542599,0
2011-11-22,9.170000,9.170000,9.170000,9.170000,5.494665,0
2011-11-23,9.150000,9.150000,9.150000,9.150000,5.482678,0
2011-11-25,9.080000,9.080000,9.080000,9.080000,5.440733,0
2011-11-28,9.070000,9.070000,9.070000,9.070000,5.434744,0
2011-11-29,9.080000,9.080000,9.080000,9.080000,5.440733,0
2011-11-30,9.160000,9.160000,9.160000,9.160000,5.516616,0
2011-12-01,9.200000,9.200000,9.200000,9.200000,5.540710,0
2011-12-02,9.220000,9.220000,9.220000,9.220000,5.552753,0
2011-12-05,9.230000,9.230000,9.230000,9.230000,5.558774,0
2011-12-06,9.200000,9.200000,9.200000,9.200000,5.540710,0
2011-12-07,9.220000,9.220000,9.220000,9.220000,5.552753,0
2011-12-08,9.170000,9.170000,9.170000,9.170000,5.522643,0
2011-12-09,9.170000,9.170000,9.170000,9.170000,5.522643,0
2011-12-12,9.100000,9.100000,9.100000,9.100000,5.480485,0
2011-12-13,9.060000,9.060000,9.060000,9.060000,5.456391,0
2011-12-14,9.030000,9.030000,9.030000,9.030000,5.438326,0
